OBJECTID,id,xcoord,ycoord,venueSize,gigName,locationName,billing,headline,date,year,month,day,time,XBNG,YBNG
1,0,-3.939,51.627,-1,"Electric Six with LITTLE NIKITA and Kasabian at Patti Pavilion (September 5, 2003)","Swansea, UK",,,05/09/03,2003,9,5,null,265881.6977,193801.6995
2,1,-2.593,51.453,1601,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Academy Bristol (November 16, 2003)","Bristol, UK",,,16/11/03,2003,11,16,null,358891.4843,172835.5527
3,2,1.2490275,52.62884,1500,"The Cooper Temple Clause with Kasabian and The Raveonettes at Norwich UEA LCR (November 17, 2003)","Norwich, UK",,,17/11/03,2003,11,17,null,619981.2896,308409.7477
4,3,-1.0919461,50.780563,-1,"The Cooper Temple Clause with Kasabian and The Raveonettes at Pyramids Centre (November 21, 2003)","Portsmouth, UK",,,21/11/03,2003,11,21,null,464115.5341,98280.2128
5,4,-0.2238407,51.503506,2000,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Shepherd's Bush Empire (November 22, 2003)","London, UK",,,22/11/03,2003,11,22,null,523374.4489,179780.9506
6,5,-1.8998971,52.474327,3000,"The Cooper Temple Clause with The Raveonettes and Kasabian at O2 Academy Birmingham (November 23, 2003)","Birmingham, UK",,,23/11/03,2003,11,23,null,406896.471,286270.8479
7,6,-1.5487168,53.802944,-1,"The Cooper Temple Clause with Kasabian and The Raveonettes at Leeds Metropolitan University, Student Union (November 24, 2003)","Leeds, UK",,,24/11/03,2003,11,24,null,429819.2903,434166.0179
8,7,-0.0884474,51.52857,-1,"Kasabian with The Koreans at Fortress Studio (November 28, 2003)","London, UK",,,28/11/03,2003,11,28,null,532698.1258,182804.8544
9,8,1.2878587,52.631435,290,"Chikinki and Kasabian at Norwich Arts Centre (January 19, 2004)","Norwich, UK",,,19/01/04,2004,1,19,null,622595.3391,308817.5097
10,9,0.19,52.176,-1,"Kasabian and Chikinki at The Boat Race (January 20, 2004)","Cambridge, UK",,,20/01/04,2004,1,20,null,549846.6799,255343.1158
11,10,-0.8904272,52.242805,-1,"Chikinki and Kasabian at The Soundhaus (January 21, 2004)","Northampton, UK",,,21/01/04,2004,1,21,null,475857.9553,261093.024
12,11,-3.10472,51.0211,-1,"Kasabian at Mamba (January 22, 2004)","Taunton, UK",,,22/01/04,2004,1,22,null,322612.5704,125217.3509
13,12,-1.1454736,52.63116,-1,"Kasabian and Chikinki at Sumo (January 23, 2004)","Leicester, UK",,,23/01/04,2004,1,23,null,457933.3282,304054.2981
14,13,-1.5030988,52.412834,-1,"Chikinki with Kasabian and The Hearing at Kasbah (January 24, 2004)","Coventry, UK",,,24/01/04,2004,1,24,null,433895.735,279542.0324
15,14,-1.322272,51.066895,-1,"Kasabian and Chikinki at The Railway Inn (January 25, 2004)","Winchester, UK",,,25/01/04,2004,1,25,null,447585.0984,129947.4291
16,15,-2.1242282,52.587673,-1,"Chikinki and Kasabian at The Little Civic (January 26, 2004)","Wolverhampton, UK",,,26/01/04,2004,1,26,null,391680.6146,298881.6175
17,16,-1.46433,52.91655,-1,"Chikinki and Kasabian at The Victoria Inn (January 27, 2004)","Derby, UK",,,27/01/04,2004,1,27,null,436116.4116,335592.9306
18,17,-1.4725945,53.378445,-1,"Kasabian and Chikinki at Fez Club (January 30, 2004)","Sheffield, UK",,,30/01/04,2004,1,30,null,435182.4024,386973.0236
19,18,-1.379,54.907,-1,"Kasabian and Chikinki at Bar 36 (January 31, 2004)","Sunderland, UK",,,31/01/04,2004,1,31,null,439915.2287,557096.8016
20,19,-1.8263936,52.6823,-1,"Kasabian and Chikinki at Lichfield Garrick Main Theatre (February 1, 2004)","Lichfield, UK",,,01/02/04,2004,2,1,null,411833.5786,309414.5705
21,20,-0.1148897,51.465122,4921,"Black Rebel Motorcycle Club with The Cooper Temple Clause and Kasabian at O2 Academy Brixton (February 6, 2004)","London, UK",,,06/02/04,2004,2,6,null,531045.7189,175701.6561
22,21,-1.546665,53.794292,-1,"Kasabian and Black Rebel Motorcycle Club at Blank Canvas (February 14, 2004)","Leeds, UK",,,14/02/04,2004,2,14,null,429960.5645,433204.2656
23,22,-1.1458642,52.953705,-1,"Kasabian and Chikinki at The Bodega Social Club (February 16, 2004)","Nottingham, UK",,,16/02/04,2004,2,16,null,457480.9986,339933.189
24,23,-0.2261179,52.57942,-1,"Kasabian and Chikinki at The Park (February 17, 2004)","Peterborough, UK",,,17/02/04,2004,2,17,null,520295.069,299433.7943
25,24,-0.128,51.5078,-1,"Kasabian at Death Disco (February 18, 2004)","London, UK",,,18/02/04,2004,2,18,null,530013.7302,180424.2206
26,25,-2.9720056,53.403793,-1,"Kasabian at Academy 3 (February 23, 2004)","Liverpool, UK",,,23/02/04,2004,2,23,null,335474.9427,390103.9172
27,26,-1.2206911,51.73873,1020,"Kasabian and Chikinki at O2 Academy Oxford (February 25, 2004)","Oxford, UK",,,25/02/04,2004,2,25,null,453908.7988,204734.237
28,27,-2.9387968,54.896336,320,"Chikinki and Kasabian at The Brickyard (February 26, 2004)","Carlisle, UK",,,26/02/04,2004,2,26,null,339888.9564,556137.4837
29,28,-4.2653494,55.8625,300,"Kasabian at King Tut's Wah Wah Hut (February 27, 2004)","Glasgow, UK",,,27/02/04,2004,2,27,null,258321.7681,665578.2436
30,29,-1.2317138,54.57606,-1,"Kasabian at The Empire Middlesbrough (February 28, 2004)","Middlesbrough, UK",,,28/02/04,2004,2,28,null,449761.83,520365.361
31,30,-3.1771,51.478,-1,"Kasabian at Unknown venue (March 1, 2004)","Cardiff, UK",,,01/03/04,2004,3,1,null,318350.4357,176106.3257
32,31,-2.2352781,53.4826,200,"Kasabian at Night & Day CafÚ (March 2, 2004)","Manchester, UK",,,02/03/04,2004,3,2,null,384484.008,398456.9424
33,32,-0.1346288,50.827057,-1,"Chikinki and Kasabian at The Pressure Point (March 4, 2004)","Brighton, UK",,,04/03/04,2004,3,4,null,531473.8755,104715.4191
34,33,-2.596749,51.4475,-1,"Kasabian at The Louisiana (March 5, 2004)","Bristol, UK",,,05/03/04,2004,3,5,null,358625.9991,172225.9903
35,34,-1.8890387,52.451,-1,"Chikinki with Kasabian and My Dad Hitla at The Jug of Ale (March 6, 2004)","Birmingham, UK",,,06/03/04,2004,3,6,null,407637.9985,283677.1473
36,35,-1.3965323,50.904526,150,"Kasabian at The Joiners (March 7, 2004)","Southampton, UK",,,07/03/04,2004,3,7,null,442529.4006,111845.8677
37,36,-0.138,50.839,-1,"Kasabian at Tavern Club (March 28, 2004)","Brighton, UK",,,28/03/04,2004,3,28,null,531202.9935,106037.3973
38,37,-0.1346985,51.5064,350,"Kasabian at Institute of Contemporary Arts (ICA) (March 29, 2004)","London, UK",,,29/03/04,2004,3,29,null,529552.8579,180256.6674
39,38,-0.1059202,51.534584,800,"Lender with Kasabian at O2 Academy Islington (March 30, 2004)","London, UK",,,30/03/04,2004,3,30,null,531468.8506,183442.1131
40,39,-0.1346985,51.5064,350,"Kasabian at Institute of Contemporary Arts (ICA) (April 19, 2004)","London, UK",,,19/04/04,2004,4,19,null,529552.8579,180256.6674
41,40,-2.6088538,51.457504,-1,"Kasabian at The Anson Rooms, University of Bristol (April 20, 2004)","Bristol, UK",,,20/04/04,2004,4,20,null,357794.0433,173345.5026
42,41,-1.546665,53.794292,-1,"Kasabian at Blank Canvas (April 21, 2004)","Leeds, UK",,,21/04/04,2004,4,21,null,429960.5645,433204.2656
43,42,-0.1223438,50.817112,600,"The Von Bondies with Kasabian at Concorde 2 (April 22, 2004)","Brighton, UK",,,22/04/04,2004,4,22,null,532367.1397,103631.5311
44,43,-2.979,53.402,-1,"The Von Bondies with Kasabian and The Waxwings at University Academy 4 (April 24, 2004)","Liverpool, UK",,,24/04/04,2004,4,24,null,335007.2054,389910.8081
45,44,-4.2687564,55.866146,-1,"The Von Bondies with Kasabian at The Garage (April 25, 2004)","Glasgow, UK",,,25/04/04,2004,4,25,null,258121.8871,665990.9051
46,45,-2.23149,53.464108,-1,"Kasabian at The Hop & Grape University of Manchester (April 26, 2004)","Manchester, UK",,,26/04/04,2004,4,26,null,384728.7049,396398.8156
47,46,-1.0919461,50.780563,-1,"The Von Bondies with ImaRobot and Kasabian at Pyramids Centre (April 29, 2004)","Portsmouth, UK",,,29/04/04,2004,4,29,null,464115.5341,98280.2128
48,47,-0.1304708,51.515884,2000,"Kasabian at Astoria (April 30, 2004)","London, UK",,,30/04/04,2004,4,30,null,529819.3053,181318.8073
49,48,-0.1510835,51.5434,200,"The Von Bondies with Kasabian at The Barfly (May 1, 2004)","London, UK",,,01/05/04,2004,5,1,null,528311.8227,184342.3655
50,49,-1.1397076,52.621628,-1,"Kasabian at The Half-time Orange (May 8, 2004)","Leicester, UK",,,08/05/04,2004,5,8,null,458336.2248,302998.6489
51,50,-1.4648403,53.376324,900,"Black Rebel Motorcycle Club and Kasabian at The Leadmill (May 9, 2004)","Sheffield, UK",,,09/05/04,2004,5,9,null,435700.0049,386740.8979
52,51,-2.701,53.757,-1,"Black Rebel Motorcycle Club with Kasabian at Mill (May 11, 2004)","Preston, UK",,,11/05/04,2004,5,11,null,353879.103,429188.1607
53,52,-1.16278,54.5728,-1,"Razorlight, Kasabian, and Electric Six at Middlesbrough Music Live (May 31, 2004)","Middlesbrough, UK",,,31/05/04,2004,5,31,null,454222.1023,520053.4797
54,53,-1.16278,54.5728,-1,Middlesbrough Music Live 2004,"Middlesbrough, UK",,,31/05/04,2004,5,31,null,454222.1023,520053.4797
55,54,-0.1417947,50.81998,-1,"Kasabian at Zap Club (June 1, 2004)","Brighton, UK",,,01/06/04,2004,6,1,null,530989.0067,103915.7987
56,55,-0.1351725,51.516098,350,"Kasabian at 100 Club (June 2, 2004)","London, UK",,,02/06/04,2004,6,2,null,529492.4838,181334.2816
57,56,-1.147,52.954,350,"Kasabian at Unknown venue (June 3, 2004)","Nottingham, UK",,,03/06/04,2004,6,3,null,457404.3034,339965.098
58,57,-1.9187133,52.48265,-1,"Kasabian at National Indoor Arena (June 7, 2004)","Birmingham, UK",,,07/06/04,2004,6,7,null,405617.3501,287195.0584
59,58,-1.4648403,53.376324,900,"Kasabian at The Leadmill (June 8, 2004)","Sheffield, UK",,,08/06/04,2004,6,8,null,435700.0049,386740.8979
60,59,-4.2687564,55.866146,-1,"Kasabian at G2 (June 9, 2004)","Glasgow, UK",,,09/06/04,2004,6,9,null,258121.8871,665990.9051
61,60,-3.1726308,51.478806,7500,"Kasabian at Motorpoint Arena Cardiff (June 10, 2004)","Cardiff, UK",,,10/06/04,2004,6,10,null,318662.2347,176190.9809
62,61,-1.548,53.797,500,"Kasabian at The Cockpit (June 11, 2004)","Leeds, UK",,,11/06/04,2004,6,11,null,429870.7064,433504.9945
63,62,-1.507,52.41,500,Godiva Festival 2004,"Coventry, UK",,,12/06/04,2004,6,12,null,433632.5291,279224.9829
64,63,-2.2338095,53.481056,200,"Kasabian at The Roadhouse (June 13, 2004)","Manchester, UK",,,13/06/04,2004,6,13,null,384580.9025,398284.8455
65,64,-1.8998971,52.474327,600,"The Eighties Matchbox B-line Disaster with Kasabian and Yourcodenameis:Milo at O2 Academy 2 Birmingham (June 14, 2004)","Birmingham, UK",,,14/06/04,2004,6,14,null,406896.471,286270.8479
66,65,-0.2252653,51.490875,5039,"Kasabian at Hammersmith Apollo (June 18, 2004)","London, UK",,,18/06/04,2004,6,18,null,523309.633,178373.9272
67,66,-3.1937246,55.948612,-1,"Kasabian at The Liquid Room (June 20, 2004)","Edinburgh, UK",,,20/06/04,2004,6,20,null,325549.4974,673485.3068
68,67,-3.04215,51.1617,-1,Orbital Glastonbury Festival 2004,"Somerset, UK",,,23/06/04,2004,6,23,null,327222.4369,140788.825
69,68,-0.2252653,51.490875,5039,"Black Rebel Motorcycle Club with The Rapture, The Stills, and Kasabian at Hammersmith Apollo (June 24, 2004)","London, UK",,,24/06/04,2004,6,24,null,523309.633,178373.9272
70,69,-2.587,51.1663,5039,Glastonbury Festival 2004,"Pilton, UK",,,25/06/04,2004,6,25,null,359053.3059,140947.8021
71,70,-1.8998971,52.474327,600,"Kasabian at O2 Academy 2 Birmingham (June 28, 2004)","Birmingham, UK",,,28/06/04,2004,6,28,null,406896.471,286270.8479
72,71,-1.611,54.973,-1,"Kasabian at Bulletproof (July 9, 2004)","Newcastle Upon Tyne, UK",,,09/07/04,2004,7,9,null,424999.19,564334.0805
73,72,-3.4229,56.20613,-1,T In The Park 2004,"Kinross, UK",,,10/07/04,2004,7,10,null,311829.1492,702415.1027
74,73,-1.147,52.954,-1,"Kasabian at Unknown venue (July 19, 2004)","Nottingham, UK",,,19/07/04,2004,7,19,null,457404.3034,339965.098
75,74,-1.1535577,52.95704,450,"Kasabian at Rescue Rooms (July 19, 2004)","Nottingham, UK",,,19/07/04,2004,7,19,null,456959.7597,340298.0567
76,75,-2.7493646,52.71224,-1,"Kasabian at Club Severn (July 20, 2004)","Shrewsbury, UK",,,20/07/04,2004,7,20,null,349472.15,312994.5605
77,76,-0.3484804,53.753735,-1,"Kasabian at The Welly (July 22, 2004)","Hull, UK",,,22/07/04,2004,7,22,null,508990.5365,429862.1224
78,77,-3.939,51.627,-1,"Kasabian at Escape (July 23, 2004)","Swansea, UK",,,23/07/04,2004,7,23,null,265881.6977,193801.6995
79,78,-2.1133318,53.540092,-1,"Kasabian with Mad Action and Tides at The Castle (July 24, 2004)","Oldham, UK",,,24/07/04,2004,7,24,null,392586.7473,404833.3755
80,79,-2.9746492,56.460106,-1,"Kasabian at Westport Bar (July 26, 2004)","Dundee, UK",,,26/07/04,2004,7,26,null,340035.4221,730199.089
81,80,-1.0780809,53.95925,200,"Kasabian with Mad Action at Fibbers (July 27, 2004)","York, UK",,,27/07/04,2004,7,27,null,460589.0037,451855.8284
82,81,-1.075723,50.786644,-1,"Kasabian with Mad Action at Wedgewood Rooms (July 28, 2004)","Southsea, UK",,,28/07/04,2004,7,28,null,465250.8184,98970.5855
83,82,0.5773906,50.85517,-1,"Kasabian with Mad Action at The Crypt (July 30, 2004)","Hastings, UK",,,30/07/04,2004,7,30,null,581506.2281,109348.7132
84,83,-0.1510835,51.5434,200,"Kasabian with Kealer and Pellumair at The Barfly (August 12, 2004)","London, UK",,,12/08/04,2004,8,12,null,528311.8227,184342.3655
85,84,-1.128,52.634,200,Summer Sundae 2004,"Leicester, UK",,,13/08/04,2004,8,13,null,459112.1363,304384.3625
86,85,-1.1192095,52.62653,-1,Summer Sundae 2004,"Leicester, UK",,,13/08/04,2004,8,13,null,459717.1951,303560.6704
87,86,0.4522177,51.718914,-1,"Scissor Sisters, Pink, and Muse with The Killers and 15 moreà at Hylands Park (August 21, 2004)","Chelmsford, UK",,,21/08/04,2004,8,21,null,569488.1423,205088.7443
88,87,0.4522177,51.718914,-1,V Festival 2004,"Chelmsford, UK",,,21/08/04,2004,8,21,null,569488.1423,205088.7443
89,88,0.4522177,51.718914,-1,"Kasabian at Hylands Park (August 22, 2004)","Chelmsford, UK",,,22/08/04,2004,8,22,null,569488.1423,205088.7443
90,89,-0.9831782,51.46432,-1,Reading Festival 2004,"Reading, UK",,,27/08/04,2004,8,27,null,470733.3472,174417.6488
91,90,-1.39181,53.9332,-1,Leeds Festival 2004,"Wetherby, UK",,,27/08/04,2004,8,27,null,440028.9484,448735.2911
92,91,-0.969,51.454,-1,"Kasabian at Carling Weekend (August 27, 2004)","Reading, UK",,,27/08/04,2004,8,27,null,471734.4079,173283.7085
93,92,-1.548,53.797,-1,"Kasabian at Carling Weekend (August 28, 2004)","Leeds, UK",,,28/08/04,2004,8,28,null,429870.7064,433504.9945
94,93,-4.2653494,55.8625,300,"Kasabian at King Tut's Wah Wah Hut (September 7, 2004)","Glasgow, UK",,,07/09/04,2004,9,7,null,258321.7681,665578.2436
95,94,-2.23149,53.464108,450,"Kasabian at Manchester Academy 3 (September 8, 2004)","Manchester, UK",,,08/09/04,2004,9,8,null,384728.7049,396398.8156
96,95,-0.1379306,51.51614,-1,"Kasabian with Trap2 at HMV Oxford Street (September 9, 2004)","London, UK",,,09/09/04,2004,9,9,null,529301.0022,181334.0793
97,96,-1.8941518,52.478756,-1,"Kasabian with Trap 2 at The Irish Centre (September 10, 2004)","Birmingham, UK",,,10/09/04,2004,9,10,null,407285.9981,286764.063
98,97,-1.12483,52.623302,-1,"Kasabian with Trap2 at Leicester University Student Union (September 11, 2004)","Leicester, UK",,,11/09/04,2004,9,11,null,459341.1125,303196.9734
99,98,-2.1771865,53.025253,400,"Kasabian with Agent Blue and The Tonics at The Sugarmill (September 12, 2004)","Stoke On Trent, UK",,,12/09/04,2004,9,12,null,388212.7876,347566.0739
100,99,-1.907,52.478,-1,"Kasabian at One Big Weekend (September 19, 2004)","Birmingham, UK",,,19/09/04,2004,9,19,null,406413.4851,286678.7715
101,100,-1.1376497,53.52085,200,"Kasabian at Leopard (September 29, 2004)","Doncaster, UK",,,29/09/04,2004,9,29,null,457272.3047,403032.3682
102,101,-0.1059202,51.534584,800,"Kasabian at O2 Academy Islington (October 11, 2004)","London, UK",,,11/10/04,2004,10,11,null,531468.8506,183442.1131
103,102,-2.6,53.3833,-1,"Kasabian at Parr Hall (October 12, 2004)","Warrington, UK",,,12/10/04,2004,10,12,null,360187.7085,387551.5549
104,103,-2.2399013,53.482044,-1,"Kasabian at HMV Records (October 12, 2004)","Manchester, UK",,,12/10/04,2004,10,12,null,384176.9973,398396.1089
105,104,-3.1937246,55.948612,-1,"Kasabian at The Liquid Room (October 13, 2004)","Edinburgh, UK",,,13/10/04,2004,10,13,null,325549.4974,673485.3068
106,105,-1.4648403,53.376324,900,"Kasabian at The Leadmill (October 15, 2004)","Sheffield, UK",,,15/10/04,2004,10,15,null,435700.0049,386740.8979
107,106,-1.546665,53.794292,-1,"Kasabian with Trap 2 at Blank Canvas (October 16, 2004)","Leeds, UK",,,16/10/04,2004,10,16,null,429960.5645,433204.2656
108,107,-0.1304708,51.515884,2000,"Kasabian with Trap2 and Sister at Astoria (October 19, 2004)","London, UK",,,19/10/04,2004,10,19,null,529819.3053,181318.8073
