OBJECTID,id,xcoord,ycoord,venueSize,gigName,locationName,billing,headline,date,year,month,day,time,XBNG,YBNG
109,108,-0.3714517,53.769314,-1,"Kasabian at Hull University Student Union (November 25, 2004)","Hull, UK",,,25/11/04,2004,11,25,null,507436.3104,431560.2558
110,109,-0.2252653,51.490875,5039,"Kasabian and The Departure at Hammersmith Apollo (December 5, 2004)","London, UK",,,05/12/04,2004,12,5,null,523309.633,178373.9272
111,110,-0.2252653,51.490875,5039,XFM Winter Wonderland 2004,"London, UK",,,05/12/04,2004,12,5,null,523309.633,178373.9272
112,111,-2.9658353,53.40502,-1,"Kasabian with The Dead 60s at Liverpool University Guild of Students (Mountford Hall & Stanley Theatre) (December 6, 2004)","Liverpool, UK",,,06/12/04,2004,12,6,null,335887.0035,390234.8471
113,112,-4.2369184,55.855057,1900,"Kasabian at Barrowland Ballroom (December 7, 2004)","Glasgow, UK",,,07/12/04,2004,12,7,null,260074.0055,664692.196
114,113,-2.23149,53.464108,1500,"Kasabian at Manchester Academy (December 9, 2004)","Manchester, UK",,,09/12/04,2004,12,9,null,384728.7049,396398.8156
115,114,-3.1790237,51.487686,-1,"Kasabian with The Dead 60s at Great Hall, Cardiff University (December 10, 2004)","Cardiff, UK",,,10/12/04,2004,12,10,null,318234.1941,177185.6653
116,115,-1.4055136,50.907608,1749,"Kasabian at Southampton Guildhall (December 11, 2004)","Southampton, UK",,,11/12/04,2004,12,11,null,441895.1236,112183.4769
117,116,-1.1535941,52.955887,2000,"Kasabian at Rock City (December 13, 2004)","Nottingham, UK",,,13/12/04,2004,12,13,null,456958.8264,340169.7671
118,117,-1.8998971,52.474327,3000,"Kasabian at O2 Academy Birmingham (December 14, 2004)","Birmingham, UK",,,14/12/04,2004,12,14,null,406896.471,286270.8479
119,118,-0.1148897,51.465122,4921,"Kasabian with The Dead 60s and Trap2 at O2 Academy Brixton (December 15, 2004)","London, UK",,,15/12/04,2004,12,15,null,531045.7189,175701.6561
120,119,-0.1148897,51.465122,4921,"Kasabian with The Rakes and Goldie Lookin Chain at O2 Academy Brixton (February 10, 2005)","London, UK",,,10/02/05,2005,2,10,null,531045.7189,175701.6561
121,120,-4.259961,55.849842,2500,"Kasabian with The Duke Spirit and El Presidente at O2 Academy Glasgow (April 22, 2005)","Glasgow, UK",,,22/04/05,2005,4,22,null,258612.9293,664158.8111
122,121,-2.206175,53.460663,7000,"Kasabian with The Duke Spirit at O2 Apollo Manchester (April 24, 2005)","Manchester, UK",,,24/04/05,2005,4,24,null,386408.2669,396010.3834
123,122,-2.206175,53.460663,7000,"Kasabian at O2 Apollo Manchester (April 25, 2005)","Manchester, UK",,,25/04/05,2005,4,25,null,386408.2669,396010.3834
124,123,-2.206175,53.460663,7000,"Kasabian with The Duke Spirit and El Presidente at O2 Apollo Manchester (April 26, 2005)","Manchester, UK",,,26/04/05,2005,4,26,null,386408.2669,396010.3834
125,124,-0.1331833,51.590786,10250,"Kasabian with The Duke Spirit and El Presidente at Alexandra Palace (April 28, 2005)","London, UK",,,28/04/05,2005,4,28,null,529418.5127,189643.4258
126,125,-0.1488263,50.82128,-1,"Kasabian with The Duke Spirit and El Presidente at Brighton Centre (April 29, 2005)","Brighton, UK",,,29/04/05,2005,4,29,null,530490.112,104047.9181
127,126,-1.379,54.907,-1,Radio One's Big Weekend 2005,"Sunderland, UK",,,07/05/05,2005,5,7,null,439915.2287,557096.8016
128,127,-2.587,51.1663,7701,Glastonbury Festival 2005,"Pilton, UK",,,24/06/05,2005,6,24,null,359053.3059,140947.8021
129,128,-2.593,51.453,1601,"Kasabian at O2 Academy Bristol (June 24, 2005)","Bristol, UK",,,24/06/05,2005,6,24,null,358891.4843,172835.5527
130,129,-0.128,51.5078,1601,Wireless Festival 2005,"London, UK",,,24/06/05,2005,6,24,null,530013.7302,180424.2206
131,130,-1.147,52.954,10000,"Kasabian at Capital FM Arena (June 29, 2005)","Nottingham, UK",,,29/06/05,2005,6,29,null,457404.3034,339965.098
132,131,-3.4229,56.20613,-1,T In The Park 2005,"Kinross, UK",,,09/07/05,2005,7,9,null,311829.1492,702415.1027
133,132,-0.1304708,51.515884,2000,"Kasabian with Louie and Trap2 at Astoria (August 25, 2005)","London, UK",,,25/08/05,2005,8,25,null,529819.3053,181318.8073
134,133,-1.548,53.797,2000,Leeds Festival 2005,"Leeds, UK",,,26/08/05,2005,8,26,null,429870.7064,433504.9945
135,134,-0.969,51.454,2000,Reading Festival 2005,"Reading, UK",,,26/08/05,2005,8,26,null,471734.4079,173283.7085
136,135,-3.42677,56.2075,-1,T In The Park 2006,"Kinross, UK",,,08/07/06,2006,7,8,null,311592.2497,702572.5347
137,136,-3.2488115,55.92827,-1,"Kasabian with Kharma 45 at Edinburgh Corn Exchange (August 14, 2006)","Edinburgh, UK",,,14/08/06,2006,8,14,null,322068.5871,671282.227
138,137,-0.1148897,51.465122,4921,"Kasabian with The Fratellis at O2 Academy Brixton (August 15, 2006)","London, UK",,,15/08/06,2006,8,15,null,531045.7189,175701.6561
139,138,0.4522177,51.718914,-1,"Kasabian and Radiohead with Beck, Bloc Party, and 42 moreà at Hylands Park (August 19, 2006)","Chelmsford, UK",,,19/08/06,2006,8,19,null,569488.1423,205088.7443
140,139,0.483333,51.7333,-1,V Festival 2006,"Chelmsford, UK",,,19/08/06,2006,8,19,null,571582.7195,206761.1148
141,140,-2.02817,52.8248,-1,V Festival 2006,"Staffordshire, UK",,,19/08/06,2006,8,19,12:00:00,398198.9655,325252.6083
142,141,-2.1,52.8,-1,"Kasabian at Stafford V2006 (August 20, 2006)","Stafford, UK",,,20/08/06,2006,8,20,null,393354.9488,322498.1513
143,142,-0.138338,51.53462,1410,"Kasabian at KOKO (September 12, 2006)","London, UK",,,12/09/06,2006,9,12,null,529220.4499,183388.4078
144,143,-0.1491962,51.542953,3000,"Kasabian with Guillemots and BBC Concert Orchestra at Roundhouse (October 28, 2006)","London, UK",,,28/10/06,2006,10,28,null,528443.947,184295.9665
145,144,-0.1028893,51.544327,800,"Oasis and Noel Gallagher with Kasabian and Shack at Union Chapel (November 26, 2006)","London, UK",,,26/11/06,2006,11,26,null,531650.9577,184531.0163
146,145,-1.1192095,52.62653,-1,"Kasabian with The Fratellis at De Montfort Hall (December 5, 2006)","Leicester, UK",,,05/12/06,2006,12,5,null,459717.1951,303560.6704
147,146,-1.1192095,52.62653,-1,"Kasabian with The Fratellis at De Montfort Hall (December 6, 2006)","Leicester, UK",,,06/12/06,2006,12,6,null,459717.1951,303560.6704
148,147,-4.2809606,55.860603,-1,"The Fratellis and Kasabian at Scottish Exhibition and Conference Centre (December 7, 2006)","Glasgow, UK",,,07/12/06,2006,12,7,null,257337.9738,665399.2708
149,148,-0.128,51.5078,-1,XFM Winter Wonderland 2006,"London, UK",,,09/12/06,2006,12,9,null,530013.7302,180424.2206
150,149,-1.5572104,53.807632,2100,"Kasabian at The Refectory, Leeds University (December 10, 2006)","Leeds, UK",,,10/12/06,2006,12,10,null,429256.65,434684.0807
151,150,-2.243345,53.487312,21000,"Kasabian with The Fratellis at Phones 4U Arena (December 11, 2006)","Manchester, UK",,,11/12/06,2006,12,11,null,383950.4681,398982.9696
152,151,-3.1726308,51.478806,7500,"Kasabian with The Fratellis at Motorpoint Arena Cardiff (December 12, 2006)","Cardiff, UK",,,12/12/06,2006,12,12,null,318662.2347,176190.9809
153,152,-1.7289522,52.451088,15700,"Kasabian and The Fratellis at LG Arena (December 14, 2006)","Birmingham, UK",,,14/12/06,2006,12,14,null,418517.5069,283715.6512
154,153,-1.147,52.954,10000,"Kasabian with The Fratellis at Capital FM Arena (December 15, 2006)","Nottingham, UK",,,15/12/06,2006,12,15,null,457404.3034,339965.098
155,154,-0.1488263,50.82128,-1,"Kasabian with The Fratellis at Brighton Centre (December 16, 2006)","Brighton, UK",,,16/12/06,2006,12,16,null,530490.112,104047.9181
156,155,-1.8791888,50.71766,-1,"Kasabian with The Fratellis at Bournemouth International Centre (December 18, 2006)","Bournemouth, UK",,,18/12/06,2006,12,18,null,408625.18,90899.3831
157,156,-0.1965816,51.490677,19000,"Kasabian with The Fratellis at Earls Court (December 19, 2006)","London, UK",,,19/12/06,2006,12,19,null,525301.4284,178400.5714
158,157,-1.624028,54.963074,-1,"Kasabian at Metro Radio Arena (December 21, 2006)","Newcastle Upon Tyne, UK",,,21/12/06,2006,12,21,null,424171.1609,563224.9504
159,158,-1.4168171,53.400543,13500,"Kasabian with The Fratellis at Motorpoint Arena (December 22, 2006)","Sheffield, UK",,,22/12/06,2006,12,22,null,438872.8136,389460.291
160,159,-0.2239576,51.493904,-1,"Kasabian with The Enemy and The Hours at Hammersmith Palais (February 13, 2007)","London, UK",,,13/02/07,2007,2,13,null,523392.2432,178712.9671
161,160,-0.2239576,51.493904,-1,"Kasabian with The Killers, Kaiser Chiefs, Primal Scream, and 1 moreà at Hammersmith Palais (March 1, 2007)","London, UK",,,01/03/07,2007,3,1,null,523392.2432,178712.9671
162,161,-1.4168171,53.400543,13500,"Kasabian at Motorpoint Arena (March 7, 2007)","Sheffield, UK",,,07/03/07,2007,3,7,null,438872.8136,389460.291
163,162,-0.1781517,51.500786,5544,"Kasabian with The Bees (UK) and The Lea Shores at Royal Albert Hall (March 29, 2007)","London, UK",,,29/03/07,2007,3,29,null,526552.8755,179556.4107
164,163,-2.701,53.757,-1,"Kasabian at Moor Park (May 19, 2007)","Preston, UK",,,19/05/07,2007,5,19,null,353879.103,429188.1607
165,164,-2.701,53.757,-1,Radio One's Big Weekend 2007,"Preston, UK",,,19/05/07,2007,5,19,null,353879.103,429188.1607
166,165,-4.2282815,57.480923,-1,"Kasabian at Ironworks (May 24, 2007)","Inverness, UK",,,24/05/07,2007,5,24,null,266496.8781,845600.0273
167,166,-1.2810427,50.710255,-1,Isle of Wight Festival 2007,"Newport, UK",,,08/06/07,2007,6,8,null,450860.033,90315.3286
168,167,-2.587,51.1663,-1,Glastonbury Festival 2007,"Pilton, UK",,,20/06/07,2007,6,20,null,359053.3059,140947.8021
169,168,-2.9934728,51.58761,-1,"Kasabian at Newport Centre (June 21, 2007)","Newport, UK",,,21/06/07,2007,6,21,null,331268.0543,188107.386
170,169,-3.4229,56.20613,-1,T In The Park 2007,"Kinross, UK",,,06/07/07,2007,7,6,null,311829.1492,702415.1027
171,170,-0.128,51.5078,-1,Live Earth 2007,"London, UK",,,07/07/07,2007,7,7,null,530013.7302,180424.2206
172,171,-0.1183185,51.511604,-1,"Kasabian at Somerset House (July 13, 2007)","London, UK",,,13/07/07,2007,7,13,null,530674.6976,180864.4669
173,172,-1.1285425,52.63448,1300,"Kasabian at Athena (July 26, 2007)","Leicester, UK",,,26/07/07,2007,7,26,null,459074.7765,304437.3113
174,173,-0.1346985,51.5064,350,"Kasabian with The Dead 60s at Institute of Contemporary Arts (ICA) (July 31, 2007)","London, UK",,,31/07/07,2007,7,31,null,529552.8579,180256.6674
175,174,-2.02817,52.8248,-1,V Festival 2007,"Staffordshire, UK",,,18/08/07,2007,8,18,12:00:00,398198.9655,325252.6083
176,175,-5.928,54.599,-1,"The Killers with The Shins, Kasabian, Justice, and 9 moreà at Ormeau Park (August 22, 2007)","Belfast, UK",,,22/08/07,2007,8,22,null,146387.6358,529741.3049
177,176,-2.13317,49.2128,-1,Jersey Live Festival 2007,"Jersey, Channel Islands, UK",,,01/09/07,2007,9,1,null,390396.6116,-76420.0328
178,177,1.2490275,52.62884,1500,"Kasabian at Norwich UEA LCR (September 4, 2007)","Norwich, UK",,,04/09/07,2007,9,4,null,619981.2896,308409.7477
179,178,-0.1054884,53.566902,-1,"Kasabian at Auditorium (September 5, 2007)","Grimsby, UK",,,05/09/07,2007,9,5,null,525564.2604,409478.8093
180,179,-4.2637663,55.865444,-1,"Kasabian at O2 ABC (September 6, 2007)","Glasgow, UK",,,06/09/07,2007,9,6,null,258431.5463,665902.568
181,180,-0.1024779,51.519554,1600,London Freshers Festival 2007,"London, UK",,,10/10/07,2007,10,10,null,531750.9323,181776.9125
182,181,-3.1982138,55.951797,-1,"Ft with Kasabian at Princes Street Gardens (December 31, 2007)","Edinburgh, UK",,,31/12/07,2007,12,31,22:00:00,325275.3029,673844.6175
183,182,-2.98333,51.5833,-1,Isle of Wight Festival 2008,"Newport, UK",,,13/06/08,2008,6,13,00:00:00,331964.292,187618.5498
184,183,-0.533333,53.2333,-1,"Kasabian with Jersey Budd and Twisted Wheel at Engine Shed (August 15, 2008)","Lincoln, UK",,,15/08/08,2008,8,15,19:00:00,497994.3859,371699.5297
185,184,-2.9336703,54.898655,-1,"Kasabian at Sands Centre (August 16, 2008)","Carlisle, UK",,,16/08/08,2008,8,16,19:00:00,340221.1725,556391.1346
186,185,-2.1299286,52.586216,4000,"Kasabian with The Junipers and Jersey Budd at The Civic Hall (August 21, 2008)","Wolverhampton, UK",,,21/08/08,2008,8,21,19:00:00,391294.1205,298720.2267
187,186,-2.1299286,52.586216,4000,"Kasabian with The Junipers and Jersey Budd at The Civic Hall (August 22, 2008)","Wolverhampton, UK",,,22/08/08,2008,8,22,19:00:00,391294.1205,298720.2267
188,187,-2.75648,54.0793,4000,Creamfields 2008,"Halton, UK",,,24/08/08,2008,8,24,11:00:00,350604.0303,465084.5678
189,188,-1.6169438,54.97002,-1,"Kasabian with Jersey Budd at O2 Academy 2 Newcastle (August 28, 2008)","Newcastle Upon Tyne, UK",,,28/08/08,2008,8,28,19:30:00,424620.5244,564000.3655
190,189,-5.07556,56.2302,-1,Connect Festival 2008,"Inveraray, UK",,,29/08/08,2008,8,29,12:00:00,209453.6426,708438.7686
191,190,-0.1028893,51.544327,800,"Glasvegas with Kasabian, Razorlight, Stereophonics, and 3 moreà at Union Chapel (November 8, 2008)","London, UK",,,08/11/08,2008,11,8,null,531650.9577,184531.0163
192,191,-0.1028893,51.544327,800,"Kasabian with Reverend and The Makers, The Hours, and Fight Like Apes at Union Chapel (November 14, 2008)","London, UK",,,14/11/08,2008,11,14,null,531650.9577,184531.0163
193,192,1.3867056,51.39151,-1,"Kasabian at Winter Gardens (March 23, 2009)","Margate, UK",,,23/03/09,2009,3,23,null,635711.4517,171273.4246
194,193,-2.7091732,53.763897,-1,"Kasabian with The Hours at 53 Degrees - University Of Central Lancashire Student Union (March 24, 2009)","Preston, UK",,,24/03/09,2009,3,24,19:30:00,353347.898,429960.8491
195,194,-1.5473124,53.8018,2700,"Kasabian with The Hours at O2 Academy Leeds (March 25, 2009)","Leeds, UK",,,25/03/09,2009,3,25,19:00:00,429912.5952,434039.326
196,195,-0.1781517,51.500786,5544,"Kasabian with The Hours and Jersey Budd at Royal Albert Hall (March 27, 2009)","London, UK",,,27/03/09,2009,3,27,19:30:00,526552.8755,179556.4107
197,196,-0.1781517,51.500786,5544,The Hours Festival 2009,"London, UK",,,27/03/09,2009,3,27,null,526552.8755,179556.4107
198,197,-0.128,51.5078,5544,Camden Crawl 2009,"London, UK",,,25/04/09,2009,4,25,12:00:00,530013.7302,180424.2206
199,198,-0.1379306,51.51614,-1,"Kasabian at HMV Oxford Street (May 6, 2009)","London, UK",,,06/05/09,2009,5,6,null,529301.0022,181334.0793
200,199,-1.774,51.557,-1,BBC Radio 1's Big Weekend 2009,"Swindon, UK",,,09/05/09,2009,5,9,null,415764.8041,184259.3153
201,200,-1.774,51.557,-1,"Franz Ferdinand with Snow Patrol, The Prodigy, Kasabian, and 61 moreà at Lydiard Park (May 9, 2009)","Swindon, UK",,,09/05/09,2009,5,9,null,415764.8041,184259.3153
202,201,-0.138,50.839,-1,The Great Escape 2009,"Brighton, UK",,,14/05/09,2009,5,14,null,531202.9935,106037.3973
203,202,-0.137163,50.82253,-1,"Kasabian with Lightspeed Champion, Little Boots, British Sea Power, and 22 moreà at At Various Brighton Venues (May 14, 2009)","Brighton, UK",,,14/05/09,2009,5,14,19:00:00,531308.0948,104207.5512
204,203,-0.1415366,50.824757,-1,"Kasabian at Brighton Dome (May 16, 2009)","Brighton, UK",,,16/05/09,2009,5,16,18:00:00,530993.8277,104447.4194
205,204,-1.1192095,52.62653,-1,"Kasabian with The Hours and Jersey Budd at De Montfort Hall (May 29, 2009)","Leicester, UK",,,29/05/09,2009,5,29,19:00:00,459717.1951,303560.6704
206,205,-1.1192095,52.62653,-1,"Kasabian at De Montfort Hall (May 30, 2009)","Leicester, UK",,,30/05/09,2009,5,30,19:00:00,459717.1951,303560.6704
207,206,-1.1192095,52.62653,-1,"Kasabian with The Hours and Jersey Budd at De Montfort Hall (May 31, 2009)","Leicester, UK",,,31/05/09,2009,5,31,19:00:00,459717.1951,303560.6704
208,207,-1.1192095,52.62653,-1,The Hours Festival 2009,"Leicester, UK",,,31/05/09,2009,5,31,null,459717.1951,303560.6704
209,208,-2.2550611,53.533894,-1,"Oasis with Kasabian, Twisted Wheel, The Enemy, and 1 moreà at Heaton Park (June 4, 2009)","Manchester, UK",,,04/06/09,2009,6,4,14:00:00,383191.6239,404168.1386
210,209,-2.2550611,53.533894,-1,"Oasis with Kasabian, The Enemy, Twisted Wheel, and 1 moreà at Heaton Park (June 6, 2009)","Manchester, UK",,,06/06/09,2009,6,6,14:00:00,383191.6239,404168.1386
211,210,-2.2550611,53.533894,-1,"Oasis with Kasabian, The Enemy, Twisted Wheel, and 1 moreà at Heaton Park (June 7, 2009)","Manchester, UK",,,07/06/09,2009,6,7,14:00:00,383191.6239,404168.1386
212,211,-2.2399013,53.482044,-1,"Kasabian at HMV Records (June 8, 2009)","Manchester, UK",,,08/06/09,2009,6,8,null,384176.9973,398396.1089
213,212,-1.630738,54.97193,2000,"Kasabian at O2 Academy Newcastle (June 9, 2009)","Newcastle Upon Tyne, UK",,,09/06/09,2009,6,9,19:00:00,423736.3312,564208.1681
214,213,-1.3849416,54.91406,-1,"Oasis with Kasabian and The Enemy at Stadium Of Light (June 10, 2009)","Sunderland, UK",,,10/06/09,2009,6,10,15:30:00,439527.3728,557879.0668
215,214,-3.178682,51.478798,-1,"Oasis with Kasabian, The Enemy, and The Peth at Cardiff Millennium Stadium (June 12, 2009)","Cardiff, UK",,,12/06/09,2009,6,12,15:30:00,318242.0027,176196.8397
